RFQ,Ord DT,Customer,X,Y,Sq.in,#Hls,LY,Line,Aring,Min Aring,Thick,Thick Mil,Mhole,Smallest_Hole_Calc,AR,AR Cal,Cu wt,CuW,CI,CI Final,EI#,Rel,Rel Dt,Shp Dt,Due Dt,Pnl X,Pnl Y,Qty Pnl,# Pnls,LY,Matl,UP,Pcs_Array,RMA_NO,CAType,RMA_Amt
149003,10/28/19,FUSION-EMS,5,4.8,24,815,10,6,0,6,0.062,62,6,6,10.3,10.3,1/1,1,12439.7886,124.397886,AA82769,-1,11/12/19,11/25/19,11/25/19,0,0,3,0,10,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149003,10/28/19,FUSION-EMS,5,4.8,24,815,10,6,0,6,0.062,62,6,6,10.3,10.3,1/1,1,12439.7886,124.397886,AA82769,-01A,11/21/19,12/2/19,12/2/19,0,0,1,0,10,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
149256,11/8/19,BLACK & DECKER,0.9622,0.8957,0.86184254,13,2,8,0,6,0.009,9,9.84,984,0.914634146,0.914634146,1/1,1,3.631324151,0.036313242,AA82767,-1,11/12/19,11/20/19,11/20/19,0,0,0,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148908,10/22/19,PINNACLE TECHNOLOGY GROUP,2.5984,6.7323,17.49320832,938,8,4,0,6,0.062,62,8,8,7.75,7.75,1/1,1,17306.26058,173.0626058,AA82765,-1,11/12/19,12/17/19,12/20/19,0,0,3,0,8,370HR               ,00:00.0,NULL,NULL,NULL,NULL
148481,10/1/19,RF IDEAS,2.4596,1.1011,2.70826556,275,4,6,0,6,0.027,27,6,6,4.5,4.5,H/H,1,1838.602514,18.38602514,AA82762,-1,11/11/19,12/20/19,12/20/19,0,0,1,0,4,Rigid-Flex          ,00:00.0,NULL,NULL,NULL,NULL
148402,9/26/19,SCJ ASSOCIATES,3.74,4.53,16.9422,871,6,8,6.5,6.5,0.062,62,10,10,6.2,6.2,1/1,1,3000.027418,30.00027418,AA82761,-1,11/11/19,12/6/19,12/6/19,0,0,0,0,6,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148540-D,10/24/19,"CALEX MFG. CO., INC.",2.38,2.26,5.3788,253,2,8,0,6,0.068,68,10,10,7.1,7.1,4/4,4,27.93483092,0.279348309,AA82757,-1,11/11/19,12/18/19,12/18/19,0,0,0,0,2,FR-4                ,00:00.0,NULL,19-099         ,RMA                 ,123
149229,11/8/19,MICRON CORP,2.385,2.35,5.60475,121,4,8,0,6,0.062,62,23.6,236,2.627118644,2.627118644,1/1,1,56.17738794,0.561773879,AA82748,-1,1/20/20,NULL,2/24/20,NULL,NULL,NULL,NULL,4,FR-4                ,NULL,NULL,NULL,NULL,NULL
148271,9/18/19,PINNACLE TECHNOLOGY GROUP,5.15,4.1302,21.27053,531,4,7.88,0.59,6.59,0.062,62,10,10,6.2,6.2,1/1,1,263.5041037,2.635041037,AA82737,-1,11/6/19,12/17/19,12/20/19,0,0,31,0,4,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
149068,10/31/19,CIRCOM INC,1.25,2.65,3.3125,8,2,8,0,6,0.062,62,55,55,1.127272727,1.127272727,1/1,1,0.051937513,0.000519375,AA82729,-1,11/4/19,11/20/19,11/25/19,0,0,4,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148686,10/9/19,AVNET,6.17,9.425,58.15225,1403,4,5,6,6,0.062,62,12,12,5.2,5.2,1/1,1,1157.2387,11.572387,AA82722,-1,11/4/19,12/10/19,12/10/19,0,0,37,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148686,10/9/19,AVNET,6.17,9.425,58.15225,1403,4,5,6,6,0.062,62,12,12,5.2,5.2,1/1,1,1157.2387,11.572387,AA82722,-3,1/23/20,NULL,3/2/20,0,0,0,0,4,FR-4                ,4,NULL,NULL,NULL,NULL
148686,10/9/19,AVNET,6.17,9.425,58.15225,1403,4,5,6,6,0.062,62,12,12,5.2,5.2,1/1,1,1157.2387,11.572387,AA82722,-4,1/23/20,NULL,2/24/20,0,0,0,0,4,FR-4                ,4,NULL,NULL,NULL,NULL
148345,9/23/19,PINNACLE TECHNOLOGY GROUP,6.815,6.25,42.59375,560,2,10,1,1,0.062,62,20,20,3.1,3.1,1/1,1,95.00106501,0.95001065,AA82714,-1,11/1/19,12/2/19,12/2/19,0,0,16,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148953,10/24/19,GASTON ELECTRONICS,2.4,0.75,1.8,1304,4,6.87,5,5,0.031,31,10,10,6.2,6.2,1/1,1,28388.61603,283.8861603,AA82708,-1,10/30/19,12/2/19,12/2/19,0,0,1,0,4,RO4350B             ,00:00.0,NULL,NULL,NULL,NULL
148953,10/24/19,GASTON ELECTRONICS,2.4,0.75,1.8,1304,4,6.87,5,5,0.031,31,10,10,6.2,6.2,1/1,1,28388.61603,283.8861603,AA82708,-01T,10/30/19,12/3/19,12/2/19,0,0,1,1,4,RO4350B             ,00:00.0,NULL,NULL,NULL,NULL
148964,10/24/19,CIRCOM INC,3,2.5,7.5,58,2,8,0,6,0.062,62,28,28,2.214285714,2.214285714,2/2,2,1.205734767,0.012057348,AA82706,-1,10/30/19,11/20/19,11/20/19,0,0,10,0,2,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
148702,10/10/19,KENALL MANUFACTURING,4.125,12.625,52.078125,1740,2,8,0,6,0.062,62,13,13,4.769230769,4.769230769,2/2,2,156.2788537,1.562788537,AA82687,-1,2/3/20,NULL,3/6/20,18,24,0,0,2,FR-4                ,5,NULL,NULL,NULL,NULL
148161,9/11/19,"ACCU-SEMBLY, INC",7.044,6.34,44.65896,822,6,10,8.5,8.5,0.062,62,18,18,3.4,3.4,1/1,1,628.2296553,6.282296553,AA82680,-1,10/24/19,11/11/19,11/11/19,0,0,4,0,6,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148937,10/23/19,DAZOR LIGHTING TECHNOLOGY LLC,0.8,11,8.8,2,1,67.54,0,6,0.062,62,136,136,0.455882353,0.455882353,2/0,2,1.81E-05,1.81E-07,AA82679,-1,10/23/19,11/12/19,11/12/19,0,0,0,0,1,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148888-A,10/23/19,NEWCO ENTERPRISES,2.8,4.55,12.74,276,2,8,0,6,0.062,62,8,8,7.75,7.75,1/1,1,16.07332759,0.160733276,AA82678,-1,12/17/19,1/9/20,1/13/20,0,0,75,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148885,10/21/19,PINNACLE TECHNOLOGY GROUP,1.9567,3.4016,6.65591072,149,2,9,7.5,7.5,0.062,62,15,15,4.1,4.1,1/1,1,6.428004133,0.064280041,AA82667,-1,11/26/19,1/3/20,1/6/20,0,0,10,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148401,9/26/19,SCJ ASSOCIATES,3.74,4.53,16.9422,1846,8,3,3.95,3.95,0.062,62,8,8,7.8,7.8,1/1,1,139270.9731,1392.709731,AA82659,-1,10/21/19,12/10/19,12/10/19,0,0,0,0,8,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148536,10/2/19,FUSION-EMS,5.5,7,38.5,305,2,8,5.9,5.9,0.062,62,28,28,2.2,2.2,1/1,1,6.648232903,0.066482329,AA82654,-1,10/18/19,10/31/19,11/8/19,0,0,8,0,2,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148834,10/17/19,AVCOM SMT INC.,7,16,112,2607,6,3.5,0,6,0.062,62,10,10,6.2,6.2,1/1,1,10067.15619,100.6715619,AA82644,-1,10/22/19,11/5/19,11/5/19,0,0,4,0,6,370HR               ,00:00.0,NULL,NULL,NULL,NULL
148535,10/2/19,FUSION-EMS,3.613,1.094,3.952622,101,4,9.62,0,6,0.062,62,15,15,4.1,4.1,1/1,1,46.53031577,0.465303158,AA82643,-1,10/17/19,10/31/19,10/31/19,0,0,1,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148736,10/11/19,NEWCO ENTERPRISES,1.76,2.64,4.6464,100,2,15,10,16,0.062,62,10,10,6.2,6.2,2/2,2,1.157098848,0.011570988,AA82628,-1,10/28/19,NULL,11/27/19,0,0,0,0,2,FR-4                ,20,NULL,NULL,NULL,NULL
148736,10/11/19,NEWCO ENTERPRISES,1.76,2.64,4.6464,100,2,15,10,16,0.062,62,10,10,6.2,6.2,2/2,2,1.157098848,0.011570988,AA82628,-01A,10/28/19,11/22/19,11/22/19,0,0,90,0,2,FR-4                ,00:00.0,NULL,19-093         ,RMA                 ,1782
147796,8/22/19,ASSEMBLY SOLUTIONS LLC,1.1811,1.4961,1.76704371,98,4,8,5,5,0.062,62,10,10,6.2,6.2,1/1,1,140.2597796,1.402597796,AA82627,-1,10/15/19,11/5/19,11/8/19,0,0,0,0,4,FR-TG170            ,00:00.0,NULL,NULL,NULL,NULL
148547,10/3/19,WELLEX,8.7795,2.7559,24.19542405,665,4,7,4.86,4.86,0.062,62,12,12,5.3,5.3,1/1,1,540.6280833,5.406280833,AA82620,-1,10/31/19,11/14/19,11/14/19,0,0,90,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
148547,10/3/19,WELLEX,8.7795,2.7559,24.19542405,665,4,7,4.86,4.86,0.062,62,12,12,5.3,5.3,1/1,1,540.6280833,5.406280833,AA82620,-01A,10/31/19,11/14/19,11/14/19,0,0,120,0,4,FR-4                ,00:00.0,NULL,NULL,NULL,NULL
